timeStamp,EPC,antennaID,RSSI,Phase,Channel
0.0,3034031DFC532DEF13E0DD7F,2,-53,2.594633,30
0.011106252670288086,3034032F4443062F13DFE9BE,2,-59,2.026484,30
0.017155885696411133,E28011606000020507924ABD,2,-55,0.002972,30
0.022955656051635742,3034032F4443062F13DFE9BE,2,-59,1.07532,30
0.02935051918029785,3034031DFC532DEF13DFBD9C,2,-60,0.185132,30
0.03512263298034668,3034031DFC5F936F13DFA3FE,2,-58,-3.11283,30
0.042635202407836914,3034032F484B672F13E0C3FE,2,-60,-1.45105,30
0.049106597900390625,3034031DFC532DEF13DFBD5C,2,-57,-0.334408,30
0.05553388595581055,3034031DFC532DEF13E0DD5F,2,-61,1.842886,30
0.061189889907836914,3034031DFC532DEF13E0C32F,2,-56,-0.846757,30
0.06687474250793457,3034257BF400002D07933CBD,2,-61,2.017281,30
0.07382893562316895,303040BA6908C616D141DD25,2,-65,-1.038793,30
0.08040738105773926,E28011606000020507924ABD,2,-57,0.045636,30
0.153944730758667,3034031DFC532DEF13DFBD5C,2,-59,-0.278322,30
0.16343045234680176,3034032F484B672F13E0C3FE,2,-58,-1.446736,30
0.17011117935180664,3034031DFC532DEF13E0DD7F,2,-52,2.650527,30
0.17676091194152832,3034031DFC532DEF13DFBD9C,2,-59,0.150042,30
0.18465113639831543,E28011606000020507924ABD,2,-55,0.027995,30
0.19417190551757812,3034032F4443062F13DFE9BE,2,-59,2.068573,30
0.1999375820159912,3034031DFC532DEF13E0C31F,2,-64,0.898913,30
0.2066495418548584,3034032F4443062F13DFE9BE,2,-59,1.040231,30
0.213179349899292,A00000000000000000000001,2,-69,0.696619,30
0.2191154956817627,3034031DFC5F936F13DFA3FE,2,-61,-3.101038,30
0.2241654396057129,ABBC00000000000000000002,2,-65,1.544527,30
0.22852516174316406,3034031DFC532DEF13E0C32F,2,-58,-0.772935,30
0.3048713207244873,ABBC00000000000000000002,2,-69,3.11935,31
0.31499457359313965,3034031DFC5F936F13DFA3FE,2,-67,-1.883537,31
0.33536791801452637,3034032F4443062F13DFE9BE,2,-68,2.04633,31
0.3461463451385498,3034031DFC532DEF13E0A9BF,2,-69,2.867681,31
0.35145044326782227,ABBC00000000000000000018,2,-71,1.331112,31
0.3560616970062256,3034031DFC532DEF13E0DD7F,2,-56,-2.923863,31
0.36170005798339844,3034257BF400002D079392DD,2,-65,-0.492887,31
0.3663337230682373,303040BA6908C616D141DD25,2,-60,-0.953561,31
0.3716702461242676,E28011606000020507924ABD,2,-56,0.100763,31
0.37686586380004883,3034032F484B672F13E0C3FE,2,-61,-0.993828,31
0.3821558952331543,3034031DFC532DEF13DFE9BC,2,-69,-0.080342,31
0.387117862701416,3034031DFC532DEF13E0A93E,2,-71,-2.699519,31
0.39280176162719727,3034031DFC532DEF13E0C31F,2,-67,0.72749,31
0.39768266677856445,3034032F484B672F13E0DD1E,2,-69,-1.713457,31
0.40260934829711914,3034031DFC532DEF13E0C32F,2,-67,2.010953,31
0.4774141311645508,3034031DFC532DEF13DFBD9C,2,-52,0.140072,31
0.4882335662841797,E28011606000020507924ABD,2,-57,0.073056,31
0.4922142028808594,3034031DFC532DEF13E0DD5F,2,-67,-2.559735,31
0.49584436416625977,303040BA6908C616D141DD25,2,-60,-0.982898,31
0.4994480609893799,3034031DFC532DEF13E0DD7F,2,-56,-2.972567,31
0.5037190914154053,3034032F484B672F13E0C3FE,2,-61,-1.019138,31
0.507953405380249,3034031DFC532DEF13E0C32F,2,-61,-0.674185,31
0.5120723247528076,3034032F4443062F13DFE9BE,2,-67,2.027347,31
0.5159451961517334,3034032F4414746F13DFE99E,2,-67,-0.625864,31
0.5204834938049316,3034031DFC5F936F13DFA3FE,2,-67,-1.701281,31
